s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-3.2022018E-005, 3.0322503E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2018986E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7057230E-002, 0.0000000E+000,-5.1184156E-007,-8.7601571E-004, 0.0000000E+000,-5.5888388E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4354114E-003, 0.0000000E+000, 1.6047598E-004, 0.0000000E+000
 9.4114460E-002, 5.7204221E+000,-3.7891927E-007, 9.5731734E-002, 1.2851501E-007,-9.9126917E-004, 0.0000000E+000, 0.0000000E+000,-3.5566772E-003, 5.8151623E+000, 5.5073366E-002, 3.2024386E-004, 0.0000000E+000
 1.4117169E-001, 1.3952268E+001,-2.6976931E-001, 2.3065702E-001,-4.8714642E-002,-1.5845537E-003, 0.0000000E+000, 0.0000000E+000, 5.7818735E+000, 1.3862857E+001, 1.0990372E-001, 4.7860799E-004, 0.0000000E+000
 1.8822892E-001, 2.0224312E+001,-8.6941757E-001, 3.2025877E-001,-1.9624201E-001,-2.1999862E-003, 0.0000000E+000, 0.0000000E+000, 1.3735455E+001, 1.9476711E+001, 1.6425233E-001, 6.3489714E-004, 0.0000000E+000
 2.3528615E-001, 2.7026218E+001,-2.7941773E+000, 3.9055835E-001,-4.9673760E-001,-2.7502761E-003, 0.0000000E+000, 0.0000000E+000, 1.9062283E+001, 2.4123111E+001, 2.1788883E-001, 7.8847559E-004, 0.0000000E+000
 2.8234339E-001, 3.4788516E+001,-8.3205012E+000, 4.1199041E-001,-8.7741962E-001,-3.3244518E-003, 0.0000000E+000, 0.0000000E+000, 2.3495572E+001, 2.5999261E+001, 2.7059505E-001, 9.3875294E-004, 0.0000000E+000
 3.2940063E-001, 4.3118553E+001,-1.9254645E+001, 3.6581482E-001,-1.1493282E+000,-3.9078837E-003, 0.0000000E+000, 0.0000000E+000, 2.5258736E+001, 2.3076486E+001, 3.2216837E-001, 1.0851924E-003, 0.0000000E+000
 3.7127012E-001, 5.2302866E+001,-2.3303986E+001, 4.4813568E-001,-1.1191524E+000,-4.4186304E-003, 0.0000000E+000, 0.0000000E+000, 2.2680762E+001, 2.8323445E+001, 3.7242457E-001, 1.2118738E-003, 0.0000000E+000
