,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-09T18:54:34.868+02:00,   0.559E-01,   0.05590,   0.191E+02
      2,2022-10-09T18:54:35.187+02:00,   0.559E-01,   0.11180,   0.204E+02
      3,2022-10-09T18:54:35.636+02:00,   0.559E-01,   0.16771,   0.222E+02
      4,2022-10-09T18:54:35.958+02:00,   0.559E-01,   0.22361,   0.234E+02
      5,2022-10-09T18:54:36.281+02:00,   0.559E-01,   0.27951,   0.247E+02
      6,2022-10-09T18:54:36.728+02:00,   0.559E-01,   0.33541,   0.265E+02
      7,2022-10-09T18:54:37.048+02:00,   0.559E-01,   0.39131,   0.278E+02
      8,2022-10-09T18:54:37.389+02:00,   0.559E-01,   0.44721,   0.292E+02
      9,2022-10-09T18:54:37.841+02:00,   0.559E-01,   0.50312,   0.310E+02
     10,2022-10-09T18:54:38.168+02:00,   0.559E-01,   0.55902,   0.323E+02
     20,2022-10-09T18:54:41.794+02:00,   0.559E-01,   1.11803,   0.468E+02
     30,2022-10-09T18:54:45.608+02:00,   0.559E-01,   1.67705,   0.620E+02
     40,2022-10-09T18:54:49.614+02:00,   0.559E-01,   2.23607,   0.769E+02
     50,2022-10-09T18:54:53.245+02:00,   0.559E-01,   2.79508,   0.915E+02
     60,2022-10-09T18:54:57.026+02:00,   0.559E-01,   3.35410,   0.107E+03
     70,2022-10-09T18:55:00.681+02:00,   0.559E-01,   3.91312,   0.121E+03
     80,2022-10-09T18:55:04.352+02:00,   0.559E-01,   4.47214,   0.136E+03
     90,2022-10-09T18:55:08.168+02:00,   0.559E-01,   5.03115,   0.151E+03
    100,2022-10-09T18:55:11.862+02:00,   0.559E-01,   5.59017,   0.166E+03
    200,2022-10-09T18:55:49.164+02:00,   0.559E-01,  11.18034,   0.315E+03
    300,2022-10-09T18:56:26.793+02:00,   0.559E-01,  16.77051,   0.466E+03
    358,2022-10-09T18:56:48.717+02:00,   0.431E-01,  20.00000,   0.553E+03
