s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,ZONE_1
 8.9442720E+000, 0.0000000E+000,-1.8190314E-002,-2.7875237E-001,-2.1663419E-002,-2.0205864E-002, 1.2166404E+000, 0.0000000E+000, 8.7795628E-001, 8.7782844E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.4408054E+002
 9.0001736E+000, 0.0000000E+000,-1.8329250E-002,-2.7871147E-001,-2.1820322E-002,-2.0229570E-002, 1.2164520E+000, 0.0000000E+000, 8.7749914E-001, 8.7736141E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.4706215E+002
 9.0560751E+000, 0.0000000E+000,-1.8414880E-002,-2.7868249E-001,-2.1976738E-002,-2.0251254E-002, 1.2162789E+000, 0.0000000E+000, 8.7703403E-001, 8.7695351E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.5004332E+002
 9.1119766E+000, 0.0000000E+000,-1.8553768E-002,-2.7865734E-001,-2.2132705E-002,-2.0269826E-002, 1.2161067E+000, 0.0000000E+000, 8.7664309E-001, 8.7649303E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.5302407E+002
 9.1678791E+000, 0.0000000E+000,-1.8692643E-002,-2.7864051E-001,-2.2287804E-002,-2.0284733E-002, 1.2159259E+000, 0.0000000E+000, 8.7617677E-001, 8.7602024E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.5600439E+002
 9.2237806E+000, 0.0000000E+000,-1.8781338E-002,-2.7863602E-001,-2.2442227E-002,-2.0292285E-002, 1.2157533E+000, 0.0000000E+000, 8.7570196E-001, 8.7560144E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.5898426E+002
 9.2796822E+000, 0.0000000E+000,-1.8920172E-002,-2.7863580E-001,-2.2596325E-002,-2.0294992E-002, 1.2155873E+000, 0.0000000E+000, 8.7529946E-001, 8.7514005E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.6196375E+002
 9.3355837E+000, 0.0000000E+000,-1.9058984E-002,-2.7863669E-001,-2.2749223E-002,-2.0292432E-002, 1.2154120E+000, 0.0000000E+000, 8.7482853E-001, 8.7467469E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.6494279E+002
 9.3914852E+000, 0.0000000E+000,-1.9144427E-002,-2.7863388E-001,-2.2901425E-002,-2.0287072E-002, 1.2152506E+000, 0.0000000E+000, 8.7436995E-001, 8.7428382E-001, 0.0000000E+000, 3.6499999E-002, 0.0000000E+000, 4.6792142E+002
 9.4473867E+000, 0.0000000E+000,-1.9283192E-002,-2.7863754E-001,-2.3053362E-002,-2.0275771E-002, 1.2150874E+000, 0.0000000E+000, 8.7398888E-001, 8.7383755E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.7089968E+002
 9.5032892E+000, 0.0000000E+000,-1.9421938E-002,-2.7865024E-001,-2.3204956E-002,-2.0261587E-002, 1.2149180E+000, 0.0000000E+000, 8.7353813E-001, 8.7337924E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.7387752E+002
 9.5591908E+000, 0.0000000E+000,-1.9502052E-002,-2.7867013E-001,-2.3355549E-002,-2.0242472E-002, 1.2147605E+000, 0.0000000E+000, 8.7307497E-001, 8.7299033E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.7685493E+002
 9.6150923E+000, 0.0000000E+000,-1.9640750E-002,-2.7868847E-001,-2.3505856E-002,-2.0217775E-002, 1.2146039E+000, 0.0000000E+000, 8.7269787E-001, 8.7255102E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.7983200E+002
 9.6709938E+000, 0.0000000E+000,-1.9779427E-002,-2.7870799E-001,-2.3656333E-002,-2.0189350E-002, 1.2144355E+000, 0.0000000E+000, 8.7225342E-001, 8.7210241E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.8280865E+002
 9.7268953E+000, 0.0000000E+000,-1.9859474E-002,-2.7873632E-001,-2.3806722E-002,-2.0156136E-002, 1.2142818E+000, 0.0000000E+000, 8.7180789E-001, 8.7172315E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.8578490E+002
 9.7827978E+000, 0.0000000E+000,-1.9998106E-002,-2.7876204E-001,-2.3956491E-002,-2.0121639E-002, 1.2141265E+000, 0.0000000E+000, 8.7143820E-001, 8.7128822E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.8876079E+002
 9.8386993E+000, 0.0000000E+000,-2.0136713E-002,-2.7878646E-001,-2.4106395E-002,-2.0087460E-002, 1.2139586E+000, 0.0000000E+000, 8.7099355E-001, 8.7084159E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.9173627E+002
 9.8946009E+000, 0.0000000E+000,-2.0221895E-002,-2.7881513E-001,-2.4256522E-002,-2.0053774E-002, 1.2138027E+000, 0.0000000E+000, 8.7055351E-001, 8.7045537E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.9471135E+002
 9.9505024E+000, 0.0000000E+000,-2.0360451E-002,-2.7884477E-001,-2.4407575E-002,-2.0021368E-002, 1.2136418E+000, 0.0000000E+000, 8.7017714E-001, 8.7000760E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 4.9768606E+002
 1.0006404E+001, 0.0000000E+000,-2.0498989E-002,-2.7886801E-001,-2.4558820E-002,-1.9991061E-002, 1.2134745E+000, 0.0000000E+000, 8.6971802E-001, 8.6955766E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.0066036E+002
 1.0062305E+001, 0.0000000E+000,-2.0587241E-002,-2.7888304E-001,-2.4710719E-002,-1.9963819E-002, 1.2133143E+000, 0.0000000E+000, 8.6927449E-001, 8.6916948E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.0363424E+002
 1.0118208E+001, 0.0000000E+000,-2.0725728E-002,-2.7890781E-001,-2.4863663E-002,-1.9937996E-002, 1.2131560E+000, 0.0000000E+000, 8.6889599E-001, 8.6872078E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.0660776E+002
 1.0174109E+001, 0.0000000E+000,-2.0864192E-002,-2.7892907E-001,-2.5017371E-002,-1.9912482E-002, 1.2129891E+000, 0.0000000E+000, 8.6844157E-001, 8.6826600E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.0958087E+002
 1.0230011E+001, 0.0000000E+000,-2.0949186E-002,-2.7894296E-001,-2.5171291E-002,-1.9887346E-002, 1.2128355E+000, 0.0000000E+000, 8.6798940E-001, 8.6788471E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.1255357E+002
 1.0285913E+001, 0.0000000E+000,-2.1087604E-002,-2.7896394E-001,-2.5325492E-002,-1.9861400E-002, 1.2126837E+000, 0.0000000E+000, 8.6762525E-001, 8.6744523E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.1552592E+002
 1.0341814E+001, 0.0000000E+000,-2.1225994E-002,-2.7899093E-001,-2.5480454E-002,-1.9833316E-002, 1.2125214E+000, 0.0000000E+000, 8.6717319E-001, 8.6699067E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.1849787E+002
 1.0397717E+001, 0.0000000E+000,-2.1305664E-002,-2.7902387E-001,-2.5635301E-002,-1.9801277E-002, 1.2123734E+000, 0.0000000E+000, 8.6672186E-001, 8.6660733E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.2146943E+002
 1.0453618E+001, 0.0000000E+000,-2.1443995E-002,-2.7905539E-001,-2.5790225E-002,-1.9766987E-002, 1.2122239E+000, 0.0000000E+000, 8.6634823E-001, 8.6616730E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.2444065E+002
 1.0509520E+001, 0.0000000E+000,-2.1582299E-002,-2.7908650E-001,-2.5944338E-002,-1.9730753E-002, 1.2120699E+000, 0.0000000E+000, 8.6590234E-001, 8.6572596E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.2741149E+002
 1.0565421E+001, 0.0000000E+000,-2.1661897E-002,-2.7912021E-001,-2.6097887E-002,-1.9695418E-002, 1.2119274E+000, 0.0000000E+000, 8.6545657E-001, 8.6535200E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.3038195E+002
 1.0621323E+001, 0.0000000E+000,-2.1800131E-002,-2.7915100E-001,-2.6250954E-002,-1.9661620E-002, 1.2117874E+000, 0.0000000E+000, 8.6509780E-001, 8.6492364E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.3335210E+002
 1.0677224E+001, 0.0000000E+000,-2.1938346E-002,-2.7917343E-001,-2.6403428E-002,-1.9633507E-002, 1.2116304E+000, 0.0000000E+000, 8.6465730E-001, 8.6448173E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.3632186E+002
 1.0733127E+001, 0.0000000E+000,-2.2023039E-002,-2.7919255E-001,-2.6555085E-002,-1.9612807E-002, 1.2114878E+000, 0.0000000E+000, 8.6421896E-001, 8.6410435E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.3929126E+002
 1.0789028E+001, 0.0000000E+000,-2.2161179E-002,-2.7920493E-001,-2.6706088E-002,-1.9605526E-002, 1.2113365E+000, 0.0000000E+000, 8.6384829E-001, 8.6365873E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.4226032E+002
 1.0844930E+001, 0.0000000E+000,-2.2299295E-002,-2.7921954E-001,-2.6856855E-002,-1.9602925E-002, 1.2111798E+000, 0.0000000E+000, 8.6338147E-001, 8.6320120E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.4522898E+002
 1.0900831E+001, 0.0000000E+000,-2.2387033E-002,-2.7924310E-001,-2.7006920E-002,-1.9593352E-002, 1.2110443E+000, 0.0000000E+000, 8.6292439E-001, 8.6281394E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.4819727E+002
 1.0956733E+001, 0.0000000E+000,-2.2525078E-002,-2.7928047E-001,-2.7156601E-002,-1.9569081E-002, 1.2109208E+000, 0.0000000E+000, 8.6254875E-001, 8.6238956E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.5116526E+002
 1.1012635E+001, 0.0000000E+000,-2.2663096E-002,-2.7933353E-001,-2.7306009E-002,-1.9525002E-002, 1.2107915E+000, 0.0000000E+000, 8.6211153E-001, 8.6196384E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.5413292E+002
 1.1068537E+001, 0.0000000E+000,-2.2747557E-002,-2.7940902E-001,-2.7455214E-002,-1.9456228E-002, 1.2106794E+000, 0.0000000E+000, 8.6168224E-001, 8.6161140E-001, 0.0000000E+000, 3.6500000E-002, 0.0000000E+000, 5.5710026E+002
