s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","temp-8","temp-9","temp-10","temp-11","temp-12","temp-13","temp-14","temp-15","vel-1","vel-2","vel-3","vel-4","vel-5","vel-6","vel-7","vel-8","vel-9","vel-10","vel-11","vel-12","vel-13","vel-14","vel-15"
 1.6205375E+001, 2.0051354E+001, 2.0054795E+001, 2.0057201E+001, 2.0053343E+001, 2.0049731E+001, 2.0042648E+001, 2.0039655E+001, 2.0033543E+001, 2.0031394E+001, 2.0029538E+001, 2.0026304E+001, 2.0026845E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0441325E-002, 2.4329728E-002, 2.4041835E-002, 2.9949685E-002, 2.7022136E-002, 3.1905585E-002, 4.9987254E-002, 4.8503335E-002, 5.3755975E-002, 6.4376499E-002, 9.1119162E-002, 1.1905382E-001, 1.4175864E-001, 3.8935084E-002, 3.1239716E-002
 1.8128687E+001, 2.0062145E+001, 2.0065924E+001, 2.0068607E+001, 2.0064511E+001, 2.0060137E+001, 2.0051435E+001, 2.0047983E+001, 2.0040687E+001, 2.0038141E+001, 2.0035940E+001, 2.0032252E+001, 2.0033978E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.1546039E-002, 4.5378038E-002, 4.4584465E-002, 5.0705311E-002, 4.8254530E-002, 5.1687600E-002, 7.0402053E-002, 6.9768808E-002, 7.6322106E-002, 8.9012621E-002, 1.2771302E-001, 1.7059703E-001, 1.9781050E-001, 5.7549150E-002, 4.5402270E-002
 1.9904052E+001, 2.0073420E+001, 2.0077563E+001, 2.0080528E+001, 2.0076142E+001, 2.0070973E+001, 2.0060614E+001, 2.0056708E+001, 2.0048205E+001, 2.0045249E+001, 2.0042706E+001, 2.0038738E+001, 2.0042798E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.2581114E-002, 3.6559674E-002, 3.5442353E-002, 4.1454025E-002, 3.9146748E-002, 4.2576157E-002, 6.0127708E-002, 5.9311668E-002, 6.5696105E-002, 7.8348534E-002, 1.2065471E-001, 1.6592179E-001, 1.6495994E-001, 4.2817502E-002, 3.6963123E-002
 2.1679417E+001, 2.0084112E+001, 2.0088638E+001, 2.0091887E+001, 2.0087270E+001, 2.0081363E+001, 2.0069406E+001, 2.0065102E+001, 2.0055451E+001, 2.0052082E+001, 2.0049203E+001, 2.0045137E+001, 2.0052679E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.3860829E-002, 1.8272342E-002, 1.7145815E-002, 2.2742390E-002, 2.0498383E-002, 2.5593520E-002, 4.1175444E-002, 4.0611951E-002, 4.6596956E-002, 5.8580828E-002, 9.9966673E-002, 1.3659894E-001, 9.7799631E-002, 1.8279176E-002, 2.1434382E-002
 2.3454782E+001, 2.0094652E+001, 2.0099538E+001, 2.0103094E+001, 2.0098324E+001, 2.0091675E+001, 2.0078126E+001, 2.0073464E+001, 2.0062689E+001, 2.0058906E+001, 2.0055684E+001, 2.0051758E+001, 2.0064510E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.6493493E-002, 2.0997211E-002, 1.9841906E-002, 2.5607363E-002, 2.3649872E-002, 2.8268063E-002, 4.3676667E-002, 4.3393401E-002, 4.9544523E-002, 6.2271458E-002, 1.0944588E-001, 1.4193910E-001, 8.2289072E-002, 1.4073303E-002, 1.9428014E-002
 2.5230147E+001, 2.0105741E+001, 2.0110928E+001, 2.0114763E+001, 2.0109783E+001, 2.0102372E+001, 2.0087197E+001, 2.0082117E+001, 2.0070200E+001, 2.0066032E+001, 2.0062385E+001, 2.0059678E+001, 2.0079813E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.5649090E-002, 4.0026306E-002, 3.8813251E-002, 4.5329265E-002, 4.3887301E-002, 4.7353126E-002, 6.3364038E-002, 6.4182677E-002, 7.1441076E-002, 8.6909323E-002, 1.4950804E-001, 1.8291185E-001, 1.0606452E-001, 2.4542207E-002, 2.7337503E-002
 2.7005511E+001, 2.0117665E+001, 2.0123092E+001, 2.0127230E+001, 2.0121952E+001, 2.0113679E+001, 2.0096744E+001, 2.0091163E+001, 2.0078110E+001, 2.0073563E+001, 2.0069386E+001, 2.0080145E+001, 2.0502258E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.1087129E-002, 4.5557333E-002, 4.4295947E-002, 5.1288375E-002, 5.0376788E-002, 5.4544389E-002, 7.0256259E-002, 7.4061150E-002, 8.4446888E-002, 1.0641513E-001, 1.9931542E-001, 2.2365583E-001, 7.9417658E-002, 1.8678652E-002, 2.4307215E-002
 2.8928824E+001, 2.0130152E+001, 2.0135836E+001, 2.0140317E+001, 2.0134741E+001, 2.0125571E+001, 2.0106775E+001, 2.0100644E+001, 2.0086465E+001, 2.0081442E+001, 2.0078836E+001, 2.2190933E+001, 2.4487018E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7766648E-002, 3.2486932E-002, 3.1238664E-002, 3.8390474E-002, 3.8047156E-002, 4.5279623E-002, 6.0972869E-002, 7.3727971E-002, 9.3976664E-002, 1.3550664E-001, 2.5152416E-001, 1.4626147E-001, 2.6597948E-001, 3.1097817E-002, 1.2342957E-002
 3.0603906E+001, 2.0141871E+001, 2.0147860E+001, 2.0152667E+001, 2.0146858E+001, 2.0136905E+001, 2.0116371E+001, 2.0109718E+001, 2.0094651E+001, 2.0096858E+001, 2.0596933E+001, 2.6301829E+001, 2.4617926E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.6537479E-002, 3.1510704E-002, 3.0504036E-002, 3.8288662E-002, 3.8903825E-002, 4.9742879E-002, 6.7177565E-002, 9.7910926E-002, 1.4060508E-001, 2.1917933E-001, 1.3067421E-001, 2.6721448E-001, 3.6643347E-001, 7.6406046E-002, 3.4331783E-002
 3.2501113E+001, 2.0154288E+001, 2.0160518E+001, 2.0165756E+001, 2.0159567E+001, 2.0148727E+001, 2.0126457E+001, 2.0119184E+001, 2.0114812E+001, 2.0712311E+001, 2.3774548E+001, 2.6367956E+001, 2.3388822E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.0740943E-002, 5.5650590E-002, 5.4818703E-002, 6.3697853E-002, 6.5361168E-002, 7.8139487E-002, 9.8754687E-002, 1.5625553E-001, 2.1925537E-001, 2.3599939E-001, 1.2315093E-001, 3.1022432E-001, 2.1077455E-001, 7.5088606E-002, 3.4170894E-002
 3.4267443E+001, 2.0169208E+001, 2.0175520E+001, 2.0181155E+001, 2.0174302E+001, 2.0162458E+001, 2.0138062E+001, 2.0129851E+001, 2.0455927E+001, 2.3062812E+001, 2.6173715E+001, 2.5838455E+001, 2.2735295E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.9354323E-002, 7.4290061E-002, 7.3664820E-002, 8.3490952E-002, 8.6391642E-002, 1.0144320E-001, 1.2423649E-001, 1.9584280E-001, 2.0600589E-001, 1.6612528E-001, 1.1906366E-001, 2.6606809E-001, 9.6383159E-002, 6.5232362E-002, 3.0043265E-002
 3.6113409E+001, 2.0184556E+001, 2.0191025E+001, 2.0197196E+001, 2.0189349E+001, 2.0176412E+001, 2.0149890E+001, 2.0142055E+001, 2.1657773E+001, 2.4799554E+001, 2.6987124E+001, 2.5073202E+001, 2.2149682E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.5153508E-002, 7.0093443E-002, 6.9631791E-002, 8.0044547E-002, 8.4311153E-002, 1.0068751E-001, 1.2254236E-001, 1.6888469E-001, 1.5610059E-001, 1.8172576E-001, 1.3150738E-001, 2.5084713E-001, 7.3175982E-002, 7.0845886E-002, 3.5859640E-002
 3.7805546E+001, 2.0199663E+001, 2.0206299E+001, 2.0213055E+001, 2.0204235E+001, 2.0190253E+001, 2.0161715E+001, 2.0159048E+001, 2.2893151E+001, 2.5503561E+001, 2.7294060E+001, 2.4187327E+001, 2.1737597E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.0086370E-002, 6.4992390E-002, 6.4701858E-002, 7.5477891E-002, 8.0816461E-002, 9.5697575E-002, 1.1227682E-001, 1.4759754E-001, 1.5876292E-001, 1.8042986E-001, 1.5021965E-001, 2.2626126E-001, 5.8400939E-002, 6.6992006E-002, 3.4025368E-002
 3.9651513E+001, 2.0215805E+001, 2.0222391E+001, 2.0229643E+001, 2.0219989E+001, 2.0205023E+001, 2.0175241E+001, 2.0208333E+001, 2.3729910E+001, 2.5918263E+001, 2.7302912E+001, 2.3465419E+001, 2.1796361E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.7609760E-002, 7.2454271E-002, 7.2634996E-002, 8.4227732E-002, 9.0083611E-002, 1.0054341E-001, 1.1302152E-001, 1.4743632E-001, 1.6528199E-001, 2.1642891E-001, 1.4769304E-001, 1.5564115E-001, 1.0696447E-001, 4.3944590E-002, 1.9055295E-002
 4.1511225E+001, 2.0232476E+001, 2.0239073E+001, 2.0247083E+001, 2.0236342E+001, 2.0220331E+001, 2.0194534E+001, 2.0365691E+001, 2.4339466E+001, 2.6209776E+001, 2.6861598E+001, 2.3218625E+001, 2.3049335E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.3936156E-002, 7.8533256E-002, 7.9247140E-002, 9.1465192E-002, 9.7352633E-002, 1.0351096E-001, 1.2356152E-001, 1.3123389E-001, 1.9173106E-001, 2.8130479E-001, 1.3420186E-001, 7.4793028E-002, 1.5352692E-001, 2.3014099E-002, 4.7739630E-003
