,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-12T14:27:27.979+02:00,   0.412E-01,   0.04119,   0.111E+02
      2,2022-10-12T14:27:28.489+02:00,   0.412E-01,   0.08238,   0.120E+02
      3,2022-10-12T14:27:29.179+02:00,   0.412E-01,   0.12357,   0.131E+02
      4,2022-10-12T14:27:29.684+02:00,   0.412E-01,   0.16475,   0.139E+02
      5,2022-10-12T14:27:30.194+02:00,   0.412E-01,   0.20594,   0.145E+02
      6,2022-10-12T14:27:30.904+02:00,   0.412E-01,   0.24713,   0.154E+02
      7,2022-10-12T14:27:31.624+02:00,   0.265E-01,   0.27361,   0.166E+02
      8,2022-10-12T14:27:32.169+02:00,   0.265E-01,   0.30009,   0.173E+02
      9,2022-10-12T14:27:32.909+02:00,   0.291E-01,   0.32922,   0.183E+02
     10,2022-10-12T14:27:33.604+02:00,   0.221E-01,   0.35128,   0.195E+02
     20,2022-10-12T14:27:41.726+02:00,   0.128E-01,   0.51848,   0.308E+02
     30,2022-10-12T14:27:47.827+02:00,   0.112E-01,   0.63348,   0.390E+02
     40,2022-10-12T14:27:53.894+02:00,   0.882E-02,   0.73496,   0.472E+02
     50,2022-10-12T14:28:01.193+02:00,   0.882E-02,   0.82311,   0.591E+02
     60,2022-10-12T14:28:07.314+02:00,   0.790E-02,   0.90298,   0.665E+02
     70,2022-10-12T14:28:13.455+02:00,   0.673E-02,   0.97380,   0.737E+02
     80,2022-10-12T14:28:19.244+02:00,   0.673E-02,   1.04113,   0.835E+02
     90,2022-10-12T14:28:25.251+02:00,   0.592E-02,   1.10522,   0.933E+02
    100,2022-10-12T14:28:30.864+02:00,   0.652E-02,   1.16742,   0.104E+03
    200,2022-10-12T14:29:31.524+02:00,   0.519E-02,   1.68684,   0.194E+03
    300,2022-10-12T14:30:36.434+02:00,   0.462E-02,   2.16893,   0.304E+03
    400,2022-10-12T14:31:37.376+02:00,   0.425E-02,   2.60147,   0.428E+03
    500,2022-10-12T14:32:40.204+02:00,   0.425E-02,   3.02680,   0.558E+03
    600,2022-10-12T14:33:42.197+02:00,   0.343E-02,   3.40669,   0.683E+03
    700,2022-10-12T14:34:44.704+02:00,   0.340E-02,   3.75407,   0.785E+03
    800,2022-10-12T14:35:48.586+02:00,   0.351E-02,   4.15081,   0.872E+03
    900,2022-10-12T14:36:51.374+02:00,   0.351E-02,   4.50227,   0.955E+03
   1000,2022-10-12T14:37:55.534+02:00,   0.351E-02,   4.85374,   0.104E+04
   1100,2022-10-12T14:39:00.271+02:00,   0.351E-02,   5.20520,   0.113E+04
   1200,2022-10-12T14:40:03.365+02:00,   0.351E-02,   5.55667,   0.122E+04
   1300,2022-10-12T14:41:07.365+02:00,   0.315E-02,   5.88143,   0.131E+04
   1400,2022-10-12T14:42:18.675+02:00,   0.315E-02,   6.19632,   0.142E+04
   1500,2022-10-12T14:43:21.380+02:00,   0.342E-02,   6.55441,   0.151E+04
   1600,2022-10-12T14:44:24.344+02:00,   0.295E-02,   6.85377,   0.160E+04
   1700,2022-10-12T14:45:31.560+02:00,   0.295E-02,   7.14894,   0.170E+04
   1800,2022-10-12T14:46:40.350+02:00,   0.357E-02,   7.47743,   0.178E+04
   1900,2022-10-12T14:47:44.365+02:00,   0.347E-02,   7.82362,   0.187E+04
   2000,2022-10-12T14:48:47.349+02:00,   0.347E-02,   8.17107,   0.197E+04
   2100,2022-10-12T14:49:49.416+02:00,   0.347E-02,   8.51852,   0.208E+04
   2200,2022-10-12T14:50:50.028+02:00,   0.347E-02,   8.86597,   0.217E+04
   2300,2022-10-12T14:51:51.719+02:00,   0.382E-02,   9.21655,   0.228E+04
   2400,2022-10-12T14:52:52.616+02:00,   0.378E-02,   9.57988,   0.239E+04
   2500,2022-10-12T14:53:53.607+02:00,   0.361E-02,   9.96626,   0.250E+04
   2510,2022-10-12T14:53:59.617+02:00,   0.918E-03,  10.00000,   0.251E+04
