s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.0933779E+000, 2.2958949E+002,-8.1290088E+001, 2.3078600E+000,-2.3591382E+000,-1.4404292E-002, 0.0000000E+000, 0.0000000E+000, 1.4812578E+002, 1.4823372E+002, 9.3222332E-001, 6.6351501E-003, 4.0608849E-105
 1.0993010E+000, 2.2980491E+002,-8.1397363E+001, 2.3136921E+000,-2.3576261E+000,-1.4439809E-002, 0.0000000E+000, 0.0000000E+000, 1.4804737E+002, 1.4834917E+002, 9.3475364E-001, 6.6529420E-003, 5.1847405E-105
 1.1052241E+000, 2.3319180E+002,-8.2965586E+001, 2.3402211E+000,-2.3561556E+000,-1.4474172E-002, 0.0000000E+000, 0.0000000E+000, 1.4816034E+002, 1.5019580E+002, 9.3726015E-001, 6.6705661E-003, 6.6101783E-105
 1.1111473E+000, 2.3478030E+002,-8.4521473E+001, 2.3442543E+000,-2.3599317E+000,-1.4496458E-002, 0.0000000E+000, 0.0000000E+000, 1.5002941E+002, 1.5022865E+002, 9.3974301E-001, 6.6880234E-003, 8.4129495E-105
 1.1170704E+000, 2.3349203E+002,-8.2590636E+001, 2.3568088E+000,-2.3578579E+000,-1.4532770E-002, 0.0000000E+000, 0.0000000E+000, 1.5005092E+002, 1.5088582E+002, 9.4220238E-001, 6.7053152E-003, 1.0695536E-104
 1.1229936E+000, 2.3751913E+002,-8.4981884E+001, 2.3821919E+000,-2.3598249E+000,-1.4561812E-002, 0.0000000E+000, 0.0000000E+000, 1.5071712E+002, 1.5254505E+002, 9.4463842E-001, 6.7224425E-003, 1.3575551E-104
 1.1289167E+000, 2.3675067E+002,-8.3779811E+001, 2.3898715E+000,-2.3592810E+000,-1.4595703E-002, 0.0000000E+000, 0.0000000E+000, 1.5234622E+002, 1.5298685E+002, 9.4705130E-001, 6.7394065E-003, 1.7211880E-104
 1.1348398E+000, 2.4050211E+002,-8.6732238E+001, 2.4013901E+000,-2.3575302E+000,-1.4630637E-002, 0.0000000E+000, 0.0000000E+000, 1.5283462E+002, 1.5379910E+002, 9.4944118E-001, 6.7562085E-003, 2.1818942E-104
 1.1413553E+000, 2.3985526E+002,-8.5607001E+001, 2.4039108E+000,-2.3540832E+000,-1.4669764E-002, 0.0000000E+000, 0.0000000E+000, 1.5365485E+002, 1.5428342E+002, 9.5180822E-001, 6.7745047E-003, 2.8200984E-104
 1.1478707E+000, 2.4099591E+002,-8.6287127E+001, 2.4096149E+000,-2.3570095E+000,-1.4703906E-002, 0.0000000E+000, 0.0000000E+000, 1.5414298E+002, 1.5474668E+002, 9.5438578E-001, 6.7926077E-003, 3.6523928E-104
