s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 6.8102431E-001, 5.9673608E+001,-2.1656989E+001, 5.9214173E-001,-1.5472358E+000,-4.2976948E-003, 0.0000000E+000, 0.0000000E+000, 3.7052998E+001, 3.7057228E+001, 2.1462573E-003, 2.1462573E-003
 6.9026446E-001, 5.9341402E+001,-2.1322145E+001, 5.9112336E-001,-1.5347361E+000,-4.3205427E-003, 0.0000000E+000, 0.0000000E+000, 3.7026305E+001, 3.7071324E+001, 2.1691376E-003, 2.1691376E-003
 7.0181459E-001, 5.8575017E+001,-2.0965076E+001, 5.8111792E-001,-1.5229065E+000,-4.3456807E-003, 0.0000000E+000, 0.0000000E+000, 3.6724953E+001, 3.6663807E+001, 2.1933819E-003, 2.1933819E-003
 7.1105474E-001, 5.8208004E+001,-2.0867836E+001, 5.7300367E-001,-1.5126348E+000,-4.3711498E-003, 0.0000000E+000, 0.0000000E+000, 3.6451496E+001, 3.6396167E+001, 2.2173355E-003, 2.2173355E-003
 7.2029489E-001, 5.7840079E+001,-2.0768591E+001, 5.6651805E-001,-1.5007149E+000,-4.3925400E-003, 0.0000000E+000, 0.0000000E+000, 3.6133019E+001, 3.6132899E+001, 2.2383696E-003, 2.2383696E-003
 7.3184502E-001, 5.8572835E+001,-2.1084509E+001, 5.6934428E-001,-1.4829849E+000,-4.4150249E-003, 0.0000000E+000, 0.0000000E+000, 3.6416460E+001, 3.6570270E+001, 2.2617433E-003, 2.2617433E-003
 7.4108517E-001, 5.9212958E+001,-2.1460418E+001, 5.7184847E-001,-1.4619845E+000,-4.4353888E-003, 0.0000000E+000, 0.0000000E+000, 3.6746687E+001, 3.6857968E+001, 2.2848281E-003, 2.2848281E-003
 7.5032532E-001, 6.0145554E+001,-2.1853521E+001, 5.7875266E-001,-1.4422335E+000,-4.4530140E-003, 0.0000000E+000, 0.0000000E+000, 3.7213733E+001, 3.7424100E+001, 2.3050917E-003, 2.3050917E-003
 7.6187551E-001, 6.1356183E+001,-2.2471486E+001, 5.8838629E-001,-1.4205306E+000,-4.4730376E-003, 0.0000000E+000, 0.0000000E+000, 3.7862296E+001, 3.8048080E+001, 2.3276010E-003, 2.3276010E-003
 7.7111560E-001, 6.3332880E+001,-2.3203485E+001, 6.0731614E-001,-1.3960487E+000,-4.4918791E-003, 0.0000000E+000, 0.0000000E+000, 3.8964245E+001, 3.9336170E+001, 2.3498240E-003, 2.3498240E-003
 7.8035575E-001, 6.5768766E+001,-2.4174129E+001, 6.3010824E-001,-1.3693790E+000,-4.5058358E-003, 0.0000000E+000, 0.0000000E+000, 4.0417275E+001, 4.0850860E+001, 2.3693242E-003, 2.3693242E-003
 7.9190594E-001, 6.8605972E+001,-2.5229430E+001, 6.5887157E-001,-1.3387567E+000,-4.5222269E-003, 0.0000000E+000, 0.0000000E+000, 4.2197822E+001, 4.2692135E+001, 2.3909778E-003, 2.3909778E-003
 8.0114609E-001, 7.2595127E+001,-2.6587274E+001, 6.9923041E-001,-1.3142164E+000,-4.5435451E-003, 0.0000000E+000, 0.0000000E+000, 4.4785078E+001, 4.5388323E+001, 2.4123486E-003, 2.4123486E-003
 8.1038618E-001, 7.6010328E+001,-2.7965366E+001, 7.3360761E-001,-1.2968458E+000,-4.5653721E-003, 0.0000000E+000, 0.0000000E+000, 4.6841453E+001, 4.7477159E+001, 2.4310945E-003, 2.4310945E-003
 8.2193637E-001, 8.0602614E+001,-2.9672435E+001, 7.7973291E-001,-1.2799847E+000,-4.5918740E-003, 0.0000000E+000, 0.0000000E+000, 4.9816623E+001, 5.0425335E+001, 2.4519034E-003, 2.4519034E-003
 8.3015859E-001, 8.4810381E+001,-3.1394796E+001, 8.1998828E-001,-1.2713350E+000,-4.6196705E-003, 0.0000000E+000, 0.0000000E+000, 5.2536056E+001, 5.2959619E+001, 2.4711877E-003, 2.4711877E-003
 8.4043640E-001, 8.7256751E+001,-3.2228030E+001, 8.4884638E-001,-1.2654519E+000,-4.6476716E-003, 0.0000000E+000, 0.0000000E+000, 5.4064517E+001, 5.4607468E+001, 2.4892209E-003, 2.4892209E-003
 8.5071421E-001, 9.0843241E+001,-3.3444189E+001, 8.8679787E-001,-1.2634136E+000,-4.6793421E-003, 0.0000000E+000, 0.0000000E+000, 5.6456155E+001, 5.7017757E+001, 2.5089966E-003, 2.5089966E-003
 8.6099201E-001, 9.3232767E+001,-3.4420303E+001, 9.1262831E-001,-1.2678893E+000,-4.7123201E-003, 0.0000000E+000, 0.0000000E+000, 5.8213530E+001, 5.8452491E+001, 2.5284941E-003, 2.5284941E-003
 8.7101835E-001, 9.5869847E+001,-3.5135692E+001, 9.4270880E-001,-1.2740620E+000,-4.7427681E-003, 0.0000000E+000, 0.0000000E+000, 5.9829035E+001, 6.0398059E+001, 2.5474405E-003, 2.5474405E-003
 8.8003898E-001, 9.7819710E+001,-3.5947798E+001, 9.6153168E-001,-1.2791913E+000,-4.7672417E-003, 0.0000000E+000, 0.0000000E+000, 6.1471083E+001, 6.1549485E+001, 2.5648222E-003, 2.5648222E-003
 8.9086372E-001, 9.8198651E+001,-3.5947144E+001, 9.6942022E-001,-1.2857103E+000,-4.7903596E-003, 0.0000000E+000, 0.0000000E+000, 6.1773964E+001, 6.1930427E+001, 2.5828772E-003, 2.5828772E-003
 9.0168840E-001, 9.8813223E+001,-3.6118192E+001, 9.7824740E-001,-1.2872669E+000,-4.8131553E-003, 0.0000000E+000, 0.0000000E+000, 6.2309358E+001, 6.2381198E+001, 2.6022899E-003, 2.6022899E-003
 9.1070902E-001, 9.9448565E+001,-3.6270361E+001, 9.8624104E-001,-1.2862619E+000,-4.8341799E-003, 0.0000000E+000, 0.0000000E+000, 6.2660691E+001, 6.2873348E+001, 2.6198266E-003, 2.6198266E-003
