s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.5132170E-004, 3.1998829E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5131850E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9383922E-001
 3.8084384E-002, 0.0000000E+000,-3.3685810E-006,-9.4333500E+000, 0.0000000E+000,-7.8072599E-004, 2.1995522E+002, 0.0000000E+000, 0.0000000E+000, 2.1052109E+002, 0.0000000E+000, 3.7283650E-004, 0.0000000E+000,-3.9383922E-001
 7.9977207E-002, 7.1310589E+000,-2.9203777E-002,-1.9897475E+001,-5.3068856E-002,-1.4674143E-003, 4.6490046E+002, 0.0000000E+000, 3.2682315E+002, 4.5205031E+002, 0.0000000E+000, 7.8166925E-004, 0.0000000E+000, 6.2975050E+002
 1.1312453E-001, 1.6105588E+001,-4.0131983E-001,-2.8312773E+001,-2.2946807E-001,-2.2227036E-003, 6.6420128E+002, 0.0000000E+000, 5.4730723E+002, 6.5136109E+002, 0.0000000E+000, 1.1032936E-003, 0.0000000E+000, 1.4538898E+003
 1.4231405E-001, 2.4096235E+001,-1.0763613E+000,-3.5862677E+001,-5.1735974E-001,-3.0505849E-003, 8.4333961E+002, 0.0000000E+000, 7.3714458E+002, 8.2997640E+002, 0.0000000E+000, 1.3845575E-003, 0.0000000E+000, 2.4232656E+003
 1.6785304E-001, 2.8875457E+001,-1.9117307E+000,-4.2615869E+001,-9.1524181E-001,-3.6795107E-003, 1.0027535E+003, 0.0000000E+000, 9.0642033E+002, 9.8618248E+002, 0.0000000E+000, 1.6287654E-003, 0.0000000E+000, 3.4620878E+003
 1.9339204E-001, 3.7958663E+001,-2.8765200E+000,-4.9519664E+001,-1.4202129E+000,-3.9388895E-003, 1.1657960E+003, 0.0000000E+000, 1.0636261E+003, 1.1499344E+003, 0.0000000E+000, 1.8709082E-003, 0.0000000E+000, 4.6814152E+003
 2.1462604E-001, 4.2404645E+001,-4.2900803E+000,-5.5402617E+001,-1.9999406E+000,-4.7665960E-003, 1.3048283E+003, 0.0000000E+000, 1.2166167E+003, 1.2855356E+003, 0.0000000E+000, 2.0704563E-003, 0.0000000E+000, 5.8373790E+003
 2.3586003E-001, 5.0106781E+001,-6.3716642E+000,-6.1423601E+001,-2.6544051E+000,-4.9795937E-003, 1.4464920E+003, 0.0000000E+000, 1.3528249E+003, 1.4261441E+003, 0.0000000E+000, 2.2682212E-003, 0.0000000E+000, 7.1238828E+003
