s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.7035489E+000, 3.1231897E+002,-1.1064974E+002,-1.6954114E+002,-3.5303055E+000,-1.7784707E-002, 0.0000000E+000, 0.0000000E+000, 2.7966263E+001, 2.8579999E+001, 1.1604845E+000, 8.2380949E-003, 5.3284424E-088
 2.7205622E+000, 3.1183668E+002,-1.0971223E+002,-1.6520698E+002,-3.5244125E+000,-1.7790558E-002, 0.0000000E+000, 0.0000000E+000, 3.2224151E+001, 3.3375270E+001, 1.1608859E+000, 8.2409202E-003, 8.6084777E-088
 2.7418287E+000, 3.1574240E+002,-1.1198710E+002,-1.6247429E+002,-3.4974988E+000,-1.7821503E-002, 0.0000000E+000, 0.0000000E+000, 3.7976299E+001, 3.7765688E+001, 1.1612718E+000, 8.2436365E-003, 1.6656614E-087
 2.7630951E+000, 3.1578227E+002,-1.1261447E+002,-1.5949224E+002,-3.4670792E+000,-1.7851207E-002, 0.0000000E+000, 0.0000000E+000, 3.9780079E+001, 4.0190626E+001, 1.1616841E+000, 8.2465382E-003, 3.6725555E-087
 2.7801082E+000, 3.1528083E+002,-1.1325520E+002,-1.5643124E+002,-3.4908701E+000,-1.7897814E-002, 0.0000000E+000, 0.0000000E+000, 4.2082372E+001, 4.2085627E+001, 1.1620408E+000, 8.2490488E-003, 6.5195991E-087
 2.8013747E+000, 3.1534889E+002,-1.1338835E+002,-1.5562943E+002,-3.4966589E+000,-1.7906227E-002, 0.0000000E+000, 0.0000000E+000, 4.3468073E+001, 4.2816552E+001, 1.1623837E+000, 8.2514625E-003, 1.1508825E-086
 2.8226411E+000, 3.1051622E+002,-1.1214973E+002,-1.5918627E+002,-3.5421018E+000,-1.7917394E-002, 0.0000000E+000, 0.0000000E+000, 3.6716082E+001, 3.5620199E+001, 1.1627500E+000, 8.2540408E-003, 2.1214171E-086
 2.8439076E+000, 3.0876886E+002,-1.1149746E+002,-1.6659115E+002,-3.5797900E+000,-1.7901073E-002, 0.0000000E+000, 0.0000000E+000, 2.8037610E+001, 2.7082555E+001, 1.1631012E+000, 8.2565125E-003, 3.8652915E-086
 2.8609207E+000, 3.0885039E+002,-1.1148655E+002,-1.7518879E+002,-3.6216127E+000,-1.7862652E-002, 0.0000000E+000, 0.0000000E+000, 1.9910465E+001, 1.8535569E+001, 1.1634050E+000, 8.2586509E-003, 6.5494089E-086
 2.8821871E+000, 3.0754229E+002,-1.1063561E+002,-1.8485534E+002,-3.5704701E+000,-1.7857260E-002, 0.0000000E+000, 0.0000000E+000, 8.8908439E+000, 8.4630150E+000, 1.1636970E+000, 8.2607067E-003, 1.1188162E-085
