s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 8.5214500E+000, 3.9633968E+000,-8.9268057E-001,-3.5631928E+000,-4.4151085E-002,-2.5999189E-004, 0.0000000E+000, 0.0000000E+000,-5.5054992E-001,-5.3688761E-001, 1.1712123E+000, 9.0821536E-005, 6.9130749E-077
 8.5938730E+000, 3.9678366E+000,-8.8977967E-001,-3.5178682E+000,-4.3939742E-002,-2.6049860E-004, 0.0000000E+000, 0.0000000E+000,-5.0917623E-001,-4.8401152E-001, 1.1712123E+000, 9.0821537E-005, 1.7196246E-076
 8.6421556E+000, 3.9683167E+000,-8.8063202E-001,-3.4483436E+000,-4.3931454E-002,-2.6068112E-004, 0.0000000E+000, 0.0000000E+000,-4.3481044E-001,-4.0485101E-001, 1.1712123E+000, 9.0821538E-005, 3.5701569E-076
 8.7145786E+000, 3.9611448E+000,-8.7874446E-001,-3.3550856E+000,-4.4379773E-002,-2.6039091E-004, 0.0000000E+000, 0.0000000E+000,-3.4812624E-001,-3.1732543E-001, 1.1712123E+000, 9.0821539E-005, 6.5409171E-076
 8.7628613E+000, 3.9623517E+000,-8.6548593E-001,-3.2488540E+000,-4.5117933E-002,-2.6036301E-004, 0.0000000E+000, 0.0000000E+000,-2.3490762E-001,-1.9736652E-001, 1.1712123E+000, 9.0821539E-005, 1.0176176E-075
 8.8352842E+000, 3.9641743E+000,-8.5833700E-001,-3.1600862E+000,-4.5928680E-002,-2.6033744E-004, 0.0000000E+000, 0.0000000E+000,-1.2587147E-001,-1.0043789E-001, 1.1712123E+000, 9.0821540E-005, 1.3655645E-075
 8.8835669E+000, 3.9663290E+000,-8.6387723E-001,-3.1073113E+000,-4.7125486E-002,-2.6059715E-004, 0.0000000E+000, 0.0000000E+000,-6.8204592E-002,-5.2245575E-002, 1.1712123E+000, 9.0821540E-005, 1.5745350E-075
 8.9559898E+000, 3.9655315E+000,-8.7328093E-001,-3.0975621E+000,-4.8283824E-002,-2.6063999E-004, 0.0000000E+000, 0.0000000E+000,-5.7075720E-002,-5.3855996E-002, 1.1712123E+000, 9.0821541E-005, 1.7404800E-075
 9.0042715E+000, 3.9633716E+000,-8.7554324E-001,-3.1186658E+000,-4.9102057E-002,-2.6028200E-004, 0.0000000E+000, 0.0000000E+000,-7.9923370E-002,-8.0199729E-002, 1.1712123E+000, 9.0821541E-005, 2.0080626E-075
 9.0766954E+000, 3.9607015E+000,-8.8009278E-001,-3.1688163E+000,-4.9942396E-002,-2.6007371E-004, 0.0000000E+000, 0.0000000E+000,-1.3262403E-001,-1.3841004E-001, 1.1712123E+000, 9.0821541E-005, 2.2525342E-075
