s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","temp-8","temp-9","temp-10","temp-11","temp-12","temp-13","temp-14","temp-15","vel-1","vel-2","vel-3","vel-4","vel-5","vel-6","vel-7","vel-8","vel-9","vel-10","vel-11","vel-12","vel-13","vel-14","vel-15"
 1.6245194E+001, 2.0138996E+001, 2.0104638E+001, 2.0104638E+001, 2.0078953E+001, 2.0059274E+001, 2.0042982E+001, 2.0042982E+001, 2.0031893E+001, 2.0024596E+001, 2.0024596E+001, 2.0019361E+001, 2.0021741E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.5682481E-002, 2.9842289E-002, 2.9842289E-002, 3.6401806E-002, 5.0671296E-002, 7.6208265E-002, 7.6208265E-002, 7.0685051E-002, 9.4733093E-002, 9.4733093E-002, 1.0669765E-001, 1.4635559E-001, 1.4635559E-001, 1.4635559E-001, 3.8442152E-002
 1.8291745E+001, 2.0162962E+001, 2.0119652E+001, 2.0119652E+001, 2.0093696E+001, 2.0073126E+001, 2.0055581E+001, 2.0055581E+001, 2.0042776E+001, 2.0033695E+001, 2.0033695E+001, 2.0027412E+001, 2.0032437E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.5141493E-002, 3.8185157E-002, 3.8185157E-002, 4.3657531E-002, 5.8952468E-002, 8.6982857E-002, 8.6982857E-002, 8.6015072E-002, 1.1642685E-001, 1.1642685E-001, 1.3772481E-001, 1.9030851E-001, 1.9030851E-001, 1.9030851E-001, 4.7181657E-002
 1.9997205E+001, 2.0184852E+001, 2.0132816E+001, 2.0132816E+001, 2.0106703E+001, 2.0085575E+001, 2.0067142E+001, 2.0067142E+001, 2.0052880E+001, 2.0042244E+001, 2.0042244E+001, 2.0035362E+001, 2.0042843E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.9979071E-002, 4.1872617E-002, 4.1872617E-002, 4.5346705E-002, 5.9285922E-002, 8.6389972E-002, 8.6389972E-002, 8.6457567E-002, 1.2028350E-001, 1.2028350E-001, 1.4891356E-001, 2.0804889E-001, 2.0804889E-001, 2.0804889E-001, 4.8306597E-002
 2.1770883E+001, 2.0205855E+001, 2.0145283E+001, 2.0145283E+001, 2.0118836E+001, 2.0097019E+001, 2.0077661E+001, 2.0077661E+001, 2.0061929E+001, 2.0050028E+001, 2.0050028E+001, 2.0042847E+001, 2.0052408E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 3.4363512E-002, 3.5948229E-002, 3.5948229E-002, 3.8926504E-002, 5.1974517E-002, 7.7195120E-002, 7.7195120E-002, 7.6174083E-002, 1.0898409E-001, 1.0898409E-001, 1.3927864E-001, 1.9554726E-001, 1.9554726E-001, 1.9554726E-001, 4.1976076E-002
 2.3759449E+001, 2.0229040E+001, 2.0159124E+001, 2.0159124E+001, 2.0132194E+001, 2.0109364E+001, 2.0088787E+001, 2.0088787E+001, 2.0071168E+001, 2.0058092E+001, 2.0058092E+001, 2.0050748E+001, 2.0063799E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.6265998E-002, 1.8739802E-002, 1.8739802E-002, 2.4066130E-002, 3.6745460E-002, 5.9408812E-002, 5.9408812E-002, 5.8611478E-002, 8.7816269E-002, 8.7816269E-002, 1.1684361E-001, 1.6290031E-001, 1.6290031E-001, 1.6290031E-001, 3.1272047E-002
 2.5451606E+001, 2.0250950E+001, 2.0172082E+001, 2.0172082E+001, 2.0144883E+001, 2.0121164E+001, 2.0099410E+001, 2.0099410E+001, 2.0079861E+001, 2.0065741E+001, 2.0065741E+001, 2.0058448E+001, 2.0075178E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.7359952E-003, 1.1036090E-002, 1.1036090E-002, 1.9505299E-002, 2.7481159E-002, 4.3821902E-002, 4.3821902E-002, 4.6260243E-002, 6.8139057E-002, 6.8139057E-002, 9.3469826E-002, 1.2555453E-001, 1.2555453E-001, 1.2555453E-001, 1.9932013E-002
 2.7267579E+001, 2.0270649E+001, 2.0183363E+001, 2.0183363E+001, 2.0156190E+001, 2.0131757E+001, 2.0109033E+001, 2.0109033E+001, 2.0087717E+001, 2.0072793E+001, 2.0072793E+001, 2.0065659E+001, 2.0087512E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.7369378E-002, 2.7491450E-002, 2.7491450E-002, 3.2200601E-002, 3.2608638E-002, 3.7249579E-002, 3.7249579E-002, 4.3437137E-002, 5.2291842E-002, 5.2291842E-002, 6.9230328E-002, 8.0754761E-002, 8.0754761E-002, 8.0754761E-002, 1.1055828E-002
 2.9083552E+001, 2.0289586E+001, 2.0193769E+001, 2.0193769E+001, 2.0166841E+001, 2.0141740E+001, 2.0118134E+001, 2.0118134E+001, 2.0095097E+001, 2.0079692E+001, 2.0079692E+001, 2.0072789E+001, 2.0107505E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.3277282E-002, 4.2792915E-002, 4.2792915E-002, 4.6039096E-002, 4.3249725E-002, 3.9439822E-002, 3.9439822E-002, 4.7199279E-002, 4.1991747E-002, 4.1991747E-002, 4.8284768E-002, 3.8440311E-002, 3.8440311E-002, 3.8440311E-002, 9.4548619E-003
 3.0899526E+001, 2.0307861E+001, 2.0203699E+001, 2.0203699E+001, 2.0177098E+001, 2.0151401E+001, 2.0126975E+001, 2.0126975E+001, 2.0102296E+001, 2.0086597E+001, 2.0086597E+001, 2.0080442E+001, 2.0158722E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.1824635E-002, 5.0899001E-002, 5.0899001E-002, 5.3471793E-002, 4.9610990E-002, 4.2463954E-002, 4.2463954E-002, 4.9256413E-002, 3.5096616E-002, 3.5096616E-002, 3.4003541E-002, 1.2575738E-002, 1.2575738E-002, 1.2575738E-002, 1.3628310E-002
 3.2715499E+001, 2.0325995E+001, 2.0213473E+001, 2.0213473E+001, 2.0187204E+001, 2.0160985E+001, 2.0135792E+001, 2.0135792E+001, 2.0109496E+001, 2.0093919E+001, 2.0093919E+001, 2.0104173E+001, 2.0305928E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 5.0766282E-002, 4.9372240E-002, 4.9372240E-002, 5.1513151E-002, 4.7458934E-002, 4.0326719E-002, 4.0326719E-002, 4.4344615E-002, 3.0737854E-002, 3.0737854E-002, 3.2921013E-002, 3.0937107E-002, 3.0937107E-002, 3.0937107E-002, 1.5065193E-002
 3.4531472E+001, 2.0344737E+001, 2.0223457E+001, 2.0223457E+001, 2.0197398E+001, 2.0170644E+001, 2.0144682E+001, 2.0144682E+001, 2.0116779E+001, 2.0103140E+001, 2.0103140E+001, 2.0282368E+001, 2.0636104E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0287159E-002, 3.8492568E-002, 3.8492568E-002, 4.0712144E-002, 3.7879703E-002, 3.5309641E-002, 3.5309641E-002, 3.5907611E-002, 4.0113411E-002, 4.0113411E-002, 5.1403658E-002, 5.5651922E-002, 5.5651922E-002, 5.5651922E-002, 1.4068612E-002
