s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"temp-1","temp-2","temp-3","temp-4","temp-5","temp-6","temp-7","temp-8","temp-9","temp-10","temp-11","temp-12","temp-13","temp-14","temp-15","vel-1","vel-2","vel-3","vel-4","vel-5","vel-6","vel-7","vel-8","vel-9","vel-10","vel-11","vel-12","vel-13","vel-14","vel-15"
 3.8545272E+002, 2.0269282E+001, 2.0155185E+001, 2.0155185E+001, 2.0393936E+001, 3.0331500E+001, 5.6412218E+001, 5.6412218E+001, 6.3744497E+001, 8.9556727E+001, 8.9556727E+001, 9.0111911E+001, 8.9801190E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.2110751E-001, 7.7977046E-001, 7.7977046E-001, 7.3106987E-001, 6.3390299E-001, 1.5288076E-001, 1.5288076E-001, 1.7454047E-001, 1.3499384E+000, 1.3499384E+000, 1.6894749E+000, 1.5271627E+000, 1.5271627E+000, 1.5271627E+000, 6.1527073E-001
 3.8706796E+002, 2.0289017E+001, 2.0157410E+001, 2.0157410E+001, 2.0370322E+001, 3.1995116E+001, 5.8719569E+001, 5.8719569E+001, 6.5932866E+001, 8.8614856E+001, 8.8614856E+001, 9.0592085E+001, 8.9734546E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.1705531E-001, 8.0477989E-001, 8.0477989E-001, 7.5627386E-001, 5.7036417E-001, 1.7439358E-001, 1.7439358E-001, 1.2544653E-001, 1.3607841E+000, 1.3607841E+000, 1.5461077E+000, 1.4255921E+000, 1.4255921E+000, 1.4255921E+000, 5.0428360E-001
 3.8897917E+002, 2.0305232E+001, 2.0161269E+001, 2.0161269E+001, 2.0451249E+001, 3.3028016E+001, 5.9009286E+001, 5.9009286E+001, 6.8260859E+001, 8.6537235E+001, 8.6537235E+001, 9.0446551E+001, 8.9677635E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.0197022E-001, 8.4167134E-001, 8.4167134E-001, 7.7440745E-001, 5.1673821E-001, 1.3528440E-001, 1.3528440E-001, 1.9731230E-001, 1.3614086E+000, 1.3614086E+000, 1.4140830E+000, 1.2978034E+000, 1.2978034E+000, 1.2978034E+000, 4.4862232E-001
 3.9083814E+002, 2.0321319E+001, 2.0170832E+001, 2.0170832E+001, 2.0543794E+001, 3.2230677E+001, 5.5624181E+001, 5.5624181E+001, 6.8707145E+001, 8.3372415E+001, 8.3372415E+001, 9.0305428E+001, 8.9789761E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.7665742E-001, 8.7498067E-001, 8.7498067E-001, 7.7651661E-001, 4.8999780E-001, 8.9031546E-002, 8.9031546E-002, 2.8827944E-001, 1.3895934E+000, 1.3895934E+000, 1.3546989E+000, 1.2692116E+000, 1.2692116E+000, 1.2692116E+000, 4.5519342E-001
 3.9269710E+002, 2.0333848E+001, 2.0182650E+001, 2.0182650E+001, 2.0526681E+001, 3.0251998E+001, 4.9972801E+001, 4.9972801E+001, 6.6088244E+001, 8.0725464E+001, 8.0725464E+001, 9.0070041E+001, 8.9958629E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6359828E-001, 8.7756556E-001, 8.7756556E-001, 7.5647105E-001, 4.9875492E-001, 1.1736105E-001, 1.1736105E-001, 3.3008363E-001, 1.4057112E+000, 1.4057112E+000, 1.3634406E+000, 1.3203460E+000, 1.3203460E+000, 1.3203460E+000, 4.9343643E-001
 3.9455606E+002, 2.0340497E+001, 2.0203483E+001, 2.0203483E+001, 2.0423700E+001, 2.7947497E+001, 4.5092063E+001, 4.5092063E+001, 6.2143151E+001, 8.0611089E+001, 8.0611089E+001, 8.9679163E+001, 8.9983027E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6466193E-001, 8.4046484E-001, 8.4046484E-001, 7.1920389E-001, 5.2653330E-001, 1.6414017E-001, 1.6414017E-001, 2.8827109E-001, 1.3439882E+000, 1.3439882E+000, 1.3727170E+000, 1.3631258E+000, 1.3631258E+000, 1.3631258E+000, 5.3893495E-001
 3.9641502E+002, 2.0346667E+001, 2.0220113E+001, 2.0220113E+001, 2.0345143E+001, 2.5974682E+001, 4.1862784E+001, 4.1862784E+001, 5.9200622E+001, 8.0569372E+001, 8.0569372E+001, 8.8828905E+001, 8.9806101E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6584171E-001, 7.7726277E-001, 7.7726277E-001, 6.8020887E-001, 5.5553529E-001, 2.0526025E-001, 2.0526025E-001, 2.0037119E-001, 1.2422219E+000, 1.2422219E+000, 1.3550951E+000, 1.3724813E+000, 1.3724813E+000, 1.3724813E+000, 6.1275966E-001
 3.9780924E+002, 2.0352961E+001, 2.0226700E+001, 2.0226700E+001, 2.0311585E+001, 2.5002262E+001, 4.0478447E+001, 4.0478447E+001, 5.8048583E+001, 8.0375821E+001, 8.0375821E+001, 8.7969256E+001, 8.9508773E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6479298E-001, 7.1915008E-001, 7.1915008E-001, 6.5528795E-001, 5.7946103E-001, 2.3093039E-001, 2.3093039E-001, 1.4577190E-001, 1.1642012E+000, 1.1642012E+000, 1.3290378E+000, 1.3715884E+000, 1.3715884E+000, 1.3715884E+000, 6.9935335E-001
 3.9966820E+002, 2.0358890E+001, 2.0223751E+001, 2.0223751E+001, 2.0295712E+001, 2.4498522E+001, 4.0490841E+001, 4.0490841E+001, 5.8462273E+001, 8.0361129E+001, 8.0361129E+001, 8.7140952E+001, 8.9263914E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6926607E-001, 6.7680944E-001, 6.7680944E-001, 6.4497067E-001, 6.0757114E-001, 2.4174035E-001, 2.4174035E-001, 1.7630197E-001, 1.1275137E+000, 1.1275137E+000, 1.3063829E+000, 1.3654406E+000, 1.3654406E+000, 1.3654406E+000, 8.0205260E-001
 4.0166659E+002, 2.0361771E+001, 2.0207419E+001, 2.0207419E+001, 2.0293944E+001, 2.4424298E+001, 4.2032853E+001, 4.2032853E+001, 6.0825061E+001, 8.1136343E+001, 8.1136343E+001, 8.6602508E+001, 8.8973066E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.8505540E-001, 6.5778854E-001, 6.5778854E-001, 6.4789812E-001, 6.4701507E-001, 2.4292680E-001, 2.4292680E-001, 2.9277396E-001, 1.1272034E+000, 1.1272034E+000, 1.2431758E+000, 1.3539307E+000, 1.3539307E+000, 1.3539307E+000, 9.2642547E-001
 4.0340983E+002, 2.0354397E+001, 2.0181748E+001, 2.0181748E+001, 2.0317503E+001, 2.4957336E+001, 4.5303222E+001, 4.5303222E+001, 6.4943225E+001, 8.2786725E+001, 8.2786725E+001, 8.6636138E+001, 8.8539316E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.0544831E-001, 6.7067274E-001, 6.7067274E-001, 6.6061236E-001, 6.8446606E-001, 2.4868476E-001, 2.4868476E-001, 4.4510936E-001, 1.1414638E+000, 1.1414638E+000, 1.0927065E+000, 1.3660928E+000, 1.3660928E+000, 1.3660928E+000, 1.0261108E+000
 4.0519724E+002, 2.0337013E+001, 2.0159361E+001, 2.0159361E+001, 2.0375543E+001, 2.5924497E+001, 4.9614988E+001, 4.9614988E+001, 6.9846896E+001, 8.4693304E+001, 8.4693304E+001, 8.6529064E+001, 8.8087475E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.1924432E-001, 6.9730144E-001, 6.9730144E-001, 6.7523037E-001, 7.0811532E-001, 2.6235119E-001, 2.6235119E-001, 6.0762998E-001, 1.1599941E+000, 1.1599941E+000, 9.5283119E-001, 1.4060892E+000, 1.4060892E+000, 1.4060892E+000, 1.0852711E+000
 4.0722823E+002, 2.0314620E+001, 2.0148316E+001, 2.0148316E+001, 2.0469166E+001, 2.7085145E+001, 5.4092736E+001, 5.4092736E+001, 7.3915266E+001, 8.5969447E+001, 8.5969447E+001, 8.5733645E+001, 8.7672979E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.2475398E-001, 7.2460295E-001, 7.2460295E-001, 6.9060629E-001, 7.1341617E-001, 2.6889126E-001, 2.6889126E-001, 7.6512178E-001, 1.2058022E+000, 1.2058022E+000, 1.0003641E+000, 1.4772163E+000, 1.4772163E+000, 1.4772163E+000, 1.1098323E+000
 4.0870894E+002, 2.0292769E+001, 2.0144722E+001, 2.0144722E+001, 2.0558976E+001, 2.8009812E+001, 5.6979534E+001, 5.6979534E+001, 7.5326485E+001, 8.6529459E+001, 8.6529459E+001, 8.4794620E+001, 8.7380309E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.2587002E-001, 7.4822932E-001, 7.4822932E-001, 7.0673186E-001, 7.0240337E-001, 2.6772104E-001, 2.6772104E-001, 8.6183740E-001, 1.2960790E+000, 1.2960790E+000, 1.1373077E+000, 1.5444633E+000, 1.5444633E+000, 1.5444633E+000, 1.0668923E+000
 4.1068322E+002, 2.0277606E+001, 2.0141230E+001, 2.0141230E+001, 2.0609340E+001, 2.8730369E+001, 5.8306358E+001, 5.8306358E+001, 7.5146961E+001, 8.6809928E+001, 8.6809928E+001, 8.4921306E+001, 8.7228272E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.2431702E-001, 7.7583675E-001, 7.7583675E-001, 7.2267174E-001, 6.7936402E-001, 2.7783204E-001, 2.7783204E-001, 9.0211219E-001, 1.3983988E+000, 1.3983988E+000, 1.2157704E+000, 1.5524192E+000, 1.5524192E+000, 1.5524192E+000, 9.2971281E-001
 4.1221329E+002, 2.0268195E+001, 2.0137635E+001, 2.0137635E+001, 2.0610461E+001, 2.9210367E+001, 5.8494965E+001, 5.8494965E+001, 7.4955877E+001, 8.7218719E+001, 8.7218719E+001, 8.5601640E+001, 8.7099104E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.1608781E-001, 8.1245776E-001, 8.1245776E-001, 7.3675218E-001, 6.5110383E-001, 3.0524935E-001, 3.0524935E-001, 9.0613485E-001, 1.4384017E+000, 1.4384017E+000, 1.2425100E+000, 1.5103844E+000, 1.5103844E+000, 1.5103844E+000, 7.5781374E-001
 4.1438501E+002, 2.0265316E+001, 2.0133717E+001, 2.0133717E+001, 2.0588068E+001, 2.9338935E+001, 5.8003689E+001, 5.8003689E+001, 7.6110173E+001, 8.7749617E+001, 8.7749617E+001, 8.5968442E+001, 8.7190810E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.9405270E-001, 8.5611804E-001, 8.5611804E-001, 7.5065504E-001, 6.2404658E-001, 3.3803897E-001, 3.3803897E-001, 8.7549880E-001, 1.3953576E+000, 1.3953576E+000, 1.1976382E+000, 1.4733907E+000, 1.4733907E+000, 1.4733907E+000, 6.5429147E-001
 4.1601379E+002, 2.0269918E+001, 2.0130454E+001, 2.0130454E+001, 2.0561003E+001, 2.9546935E+001, 5.7876979E+001, 5.7876979E+001, 7.9339311E+001, 8.7984238E+001, 8.7984238E+001, 8.5857264E+001, 8.7368025E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6170021E-001, 8.8959659E-001, 8.8959659E-001, 7.6666377E-001, 6.0193162E-001, 3.6584448E-001, 3.6584448E-001, 8.3136457E-001, 1.3331832E+000, 1.3331832E+000, 1.1411291E+000, 1.4685180E+000, 1.4685180E+000, 1.4685180E+000, 6.2362514E-001
 4.1764257E+002, 2.0276123E+001, 2.0129717E+001, 2.0129717E+001, 2.0542466E+001, 3.0065957E+001, 5.9052536E+001, 5.9052536E+001, 8.2176315E+001, 8.7032923E+001, 8.7032923E+001, 8.5806123E+001, 8.7605376E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.3705536E-001, 8.9705343E-001, 8.9705343E-001, 7.8535860E-001, 5.8683609E-001, 3.8880328E-001, 3.8880328E-001, 8.0403234E-001, 1.2899256E+000, 1.2899256E+000, 1.1443483E+000, 1.4697495E+000, 1.4697495E+000, 1.4697495E+000, 6.1490645E-001
 4.1981429E+002, 2.0285681E+001, 2.0128486E+001, 2.0128486E+001, 2.0541770E+001, 3.1390223E+001, 6.2251499E+001, 6.2251499E+001, 8.3702474E+001, 8.5661741E+001, 8.5661741E+001, 8.6088366E+001, 8.7902716E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.2244763E-001, 8.7816440E-001, 8.7816440E-001, 8.1372606E-001, 5.6737997E-001, 4.2355744E-001, 4.2355744E-001, 8.0479379E-001, 1.2036538E+000, 1.2036538E+000, 1.2116386E+000, 1.4678263E+000, 1.4678263E+000, 1.4678263E+000, 6.2836869E-001
 4.2144307E+002, 2.0291057E+001, 2.0127923E+001, 2.0127923E+001, 2.0619369E+001, 3.3600300E+001, 6.6316999E+001, 6.6316999E+001, 8.4015215E+001, 8.5045939E+001, 8.5045939E+001, 8.7129192E+001, 8.8255157E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.2045526E-001, 8.4589546E-001, 8.4589546E-001, 8.4312125E-001, 5.3866005E-001, 4.5841453E-001, 4.5841453E-001, 8.3738148E-001, 1.0741903E+000, 1.0741903E+000, 1.3264372E+000, 1.4774913E+000, 1.4774913E+000, 1.4774913E+000, 6.7820313E-001
 4.2318044E+002, 2.0284048E+001, 2.0130939E+001, 2.0130939E+001, 2.0749924E+001, 3.5804337E+001, 6.9570242E+001, 6.9570242E+001, 8.4315269E+001, 8.5525924E+001, 8.5525924E+001, 8.8511657E+001, 8.8596053E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.2665624E-001, 8.2784284E-001, 8.2784284E-001, 8.6365782E-001, 5.0336726E-001, 4.7582007E-001, 4.7582007E-001, 8.8852334E-001, 1.0229853E+000, 1.0229853E+000, 1.4183638E+000, 1.4641629E+000, 1.4641629E+000, 1.4641629E+000, 7.3905960E-001
 4.2503183E+002, 2.0265253E+001, 2.0137070E+001, 2.0137070E+001, 2.0959904E+001, 3.7348097E+001, 7.1983553E+001, 7.1983553E+001, 8.4965317E+001, 8.6140515E+001, 8.6140515E+001, 8.8916606E+001, 8.8791228E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.3432736E-001, 8.3767722E-001, 8.3767722E-001, 8.7263500E-001, 4.6257580E-001, 4.7352960E-001, 4.7352960E-001, 9.6259779E-001, 1.0379198E+000, 1.0379198E+000, 1.4808678E+000, 1.3916896E+000, 1.3916896E+000, 1.3916896E+000, 7.9651560E-001
 4.2700266E+002, 2.0250876E+001, 2.0143874E+001, 2.0143874E+001, 2.1054729E+001, 3.7324783E+001, 7.2488531E+001, 7.2488531E+001, 8.5709733E+001, 8.6670260E+001, 8.6670260E+001, 8.8731982E+001, 8.8867225E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.3284169E-001, 8.7533975E-001, 8.7533975E-001, 8.6151928E-001, 4.3513316E-001, 4.3981589E-001, 4.3981589E-001, 1.0416841E+000, 1.0684358E+000, 1.0684358E+000, 1.4483331E+000, 1.3448782E+000, 1.3448782E+000, 1.3448782E+000, 8.4738383E-001
 4.2897348E+002, 2.0253154E+001, 2.0149643E+001, 2.0149643E+001, 2.0918155E+001, 3.5272530E+001, 7.1236213E+001, 7.1236213E+001, 8.6408173E+001, 8.7479228E+001, 8.7479228E+001, 8.9179044E+001, 8.9450884E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.0652784E-001, 9.0302466E-001, 9.0302466E-001, 8.2531385E-001, 4.4240775E-001, 3.7044343E-001, 3.7044343E-001, 1.0795940E+000, 1.0780379E+000, 1.0780379E+000, 1.3240340E+000, 1.3883389E+000, 1.3883389E+000, 1.3883389E+000, 8.7563571E-001
 4.3028737E+002, 2.0259779E+001, 2.0153533E+001, 2.0153533E+001, 2.0789686E+001, 3.2242037E+001, 6.9152817E+001, 6.9152817E+001, 8.6157253E+001, 8.7860979E+001, 8.7860979E+001, 8.9458659E+001, 9.0044499E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.6186675E-001, 8.9332000E-001, 8.9332000E-001, 7.8294951E-001, 4.7723698E-001, 3.0237157E-001, 3.0237157E-001, 1.0579235E+000, 1.0502412E+000, 1.0502412E+000, 1.2493619E+000, 1.4068434E+000, 1.4068434E+000, 1.4068434E+000, 8.5590069E-001
 4.3225820E+002, 2.0268461E+001, 2.0160106E+001, 2.0160106E+001, 2.0696267E+001, 2.8959404E+001, 6.5897227E+001, 6.5897227E+001, 8.4648304E+001, 8.8114531E+001, 8.8114531E+001, 8.9788586E+001, 9.0506456E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.0711170E-001, 8.5537474E-001, 8.5537474E-001, 7.4153355E-001, 5.3201066E-001, 2.4979956E-001, 2.4979956E-001, 1.0052866E+000, 1.0486669E+000, 1.0486669E+000, 1.1940844E+000, 1.3677914E+000, 1.3677914E+000, 1.3677914E+000, 8.2104884E-001
 4.3422903E+002, 2.0281678E+001, 2.0171197E+001, 2.0171197E+001, 2.0607656E+001, 2.6022940E+001, 6.1923880E+001, 6.1923880E+001, 8.2447080E+001, 8.8514255E+001, 8.8514255E+001, 9.0313118E+001, 9.0736084E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.6742371E-001, 8.1436000E-001, 8.1436000E-001, 7.0966118E-001, 5.9967712E-001, 2.1922705E-001, 2.1922705E-001, 9.5272204E-001, 1.0930561E+000, 1.0930561E+000, 1.1545214E+000, 1.3068091E+000, 1.3068091E+000, 1.3068091E+000, 7.7060917E-001
 4.3619986E+002, 2.0304283E+001, 2.0183600E+001, 2.0183600E+001, 2.0529305E+001, 2.4553014E+001, 5.9072390E+001, 5.9072390E+001, 7.9730227E+001, 8.8987012E+001, 8.8987012E+001, 9.0483156E+001, 9.0793704E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 6.8228016E-001, 8.1029393E-001, 8.1029393E-001, 6.9930019E-001, 6.4185778E-001, 2.2299951E-001, 2.2299951E-001, 9.4274209E-001, 1.1237402E+000, 1.1237402E+000, 1.2505433E+000, 1.3022059E+000, 1.3022059E+000, 1.3022059E+000, 7.8066425E-001
 4.3751374E+002, 2.0333904E+001, 2.0192271E+001, 2.0192271E+001, 2.0465693E+001, 2.4252740E+001, 5.8523455E+001, 5.8523455E+001, 7.8761007E+001, 8.9118003E+001, 8.9118003E+001, 9.0495848E+001, 9.0923146E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.2452063E-001, 8.3120114E-001, 8.3120114E-001, 6.9926319E-001, 6.4710834E-001, 2.4770748E-001, 2.4770748E-001, 9.6209749E-001, 1.1432229E+000, 1.1432229E+000, 1.2996889E+000, 1.3363583E+000, 1.3363583E+000, 1.3363583E+000, 8.0220457E-001
 4.3948457E+002, 2.0362943E+001, 2.0198989E+001, 2.0198989E+001, 2.0423108E+001, 2.4762403E+001, 5.9998381E+001, 5.9998381E+001, 7.8348394E+001, 8.9081967E+001, 8.9081967E+001, 9.0662821E+001, 9.1064142E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 7.7505732E-001, 8.5507722E-001, 8.5507722E-001, 7.0374290E-001, 6.2510300E-001, 2.8152424E-001, 2.8152424E-001, 9.8186658E-001, 1.1116961E+000, 1.1116961E+000, 1.1865474E+000, 1.3626124E+000, 1.3626124E+000, 1.3626124E+000, 7.8689689E-001
 4.4125325E+002, 2.0387514E+001, 2.0211790E+001, 2.0211790E+001, 2.0405435E+001, 2.5792540E+001, 6.2770306E+001, 6.2770306E+001, 7.8072159E+001, 8.9014307E+001, 8.9014307E+001, 9.0773331E+001, 9.1202287E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.3262640E-001, 8.7027107E-001, 8.7027107E-001, 7.1689195E-001, 5.8252354E-001, 3.0803708E-001, 3.0803708E-001, 1.0020166E+000, 9.7904352E-001, 9.7904352E-001, 1.1249916E+000, 1.3525548E+000, 1.3525548E+000, 1.3525548E+000, 7.5467851E-001
 4.4302192E+002, 2.0393075E+001, 2.0229691E+001, 2.0229691E+001, 2.0423364E+001, 2.7106369E+001, 6.4924451E+001, 6.4924451E+001, 7.8394326E+001, 8.8714476E+001, 8.8714476E+001, 9.0762235E+001, 9.1227292E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.8981480E-001, 8.7615722E-001, 8.7615722E-001, 7.3647981E-001, 5.3289464E-001, 3.1894996E-001, 3.1894996E-001, 1.0317359E+000, 8.5851046E-001, 8.5851046E-001, 1.2780483E+000, 1.3460453E+000, 1.3460453E+000, 1.3460453E+000, 7.6237686E-001
 4.4479060E+002, 2.0393265E+001, 2.0240858E+001, 2.0240858E+001, 2.0461874E+001, 2.8918272E+001, 6.5454952E+001, 6.5454952E+001, 8.0505458E+001, 8.8253476E+001, 8.8253476E+001, 9.0730343E+001, 9.1227425E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.3636809E-001, 8.8246667E-001, 8.8246667E-001, 7.5412103E-001, 4.7717884E-001, 3.3916846E-001, 3.3916846E-001, 1.0584358E+000, 8.8298185E-001, 8.8298185E-001, 1.3733640E+000, 1.4236487E+000, 1.4236487E+000, 1.4236487E+000, 8.1201695E-001
 4.4644071E+002, 2.0395901E+001, 2.0240419E+001, 2.0240419E+001, 2.0501775E+001, 3.1121739E+001, 6.4779024E+001, 6.4779024E+001, 8.4167743E+001, 8.8164935E+001, 8.8164935E+001, 9.0726112E+001, 9.1226999E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.6133168E-001, 8.8809350E-001, 8.8809350E-001, 7.5864205E-001, 4.2171336E-001, 3.8318762E-001, 3.8318762E-001, 1.0676701E+000, 9.7874384E-001, 9.7874384E-001, 1.3846750E+000, 1.5220922E+000, 1.5220922E+000, 1.5220922E+000, 8.1525793E-001
 4.4856182E+002, 2.0392405E+001, 2.0221012E+001, 2.0221012E+001, 2.0583619E+001, 3.3599639E+001, 6.3176487E+001, 6.3176487E+001, 8.6935520E+001, 8.9184376E+001, 8.9184376E+001, 9.1022877E+001, 9.1277760E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.6647607E-001, 8.9234813E-001, 8.9234813E-001, 7.3924154E-001, 3.7825240E-001, 4.3266046E-001, 4.3266046E-001, 1.0492319E+000, 1.0348023E+000, 1.0348023E+000, 1.3770636E+000, 1.5295922E+000, 1.5295922E+000, 1.5295922E+000, 7.2948088E-001
 4.5015265E+002, 2.0381605E+001, 2.0192751E+001, 2.0192751E+001, 2.0919328E+001, 3.5588784E+001, 6.0854133E+001, 6.0854133E+001, 8.7199030E+001, 9.0896508E+001, 9.0896508E+001, 9.1487107E+001, 9.1369185E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.5280754E-001, 9.0906136E-001, 9.0906136E-001, 7.1288342E-001, 3.8049181E-001, 4.3096765E-001, 4.3096765E-001, 9.7640411E-001, 1.0743655E+000, 1.0743655E+000, 1.3139432E+000, 1.4609852E+000, 1.4609852E+000, 1.4609852E+000, 6.0969667E-001
 4.5227376E+002, 2.0354533E+001, 2.0192691E+001, 2.0192691E+001, 2.1525198E+001, 3.5471218E+001, 5.5725598E+001, 5.5725598E+001, 8.5236949E+001, 9.1829485E+001, 9.1829485E+001, 9.1456602E+001, 9.1529802E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.2740274E-001, 9.4347643E-001, 9.4347643E-001, 7.2531600E-001, 4.3691969E-001, 4.0139271E-001, 4.0139271E-001, 8.2876470E-001, 1.2020289E+000, 1.2020289E+000, 1.1651855E+000, 1.4079517E+000, 1.4079517E+000, 1.4079517E+000, 5.0972099E-001
 4.5391761E+002, 2.0332538E+001, 2.0200982E+001, 2.0200982E+001, 2.1963616E+001, 3.2357068E+001, 4.7284676E+001, 4.7284676E+001, 7.9604735E+001, 8.9571376E+001, 8.9571376E+001, 9.1233434E+001, 9.1753507E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.0204095E-001, 9.6875063E-001, 9.6875063E-001, 7.8943886E-001, 5.2369009E-001, 4.4056814E-001, 4.4056814E-001, 6.5565151E-001, 1.4737173E+000, 1.4737173E+000, 1.0611539E+000, 1.4179645E+000, 1.4179645E+000, 1.4179645E+000, 4.4040997E-001
 4.5566753E+002, 2.0326568E+001, 2.0193890E+001, 2.0193890E+001, 2.1679042E+001, 2.8664487E+001, 4.0072295E+001, 4.0072295E+001, 7.0343986E+001, 8.4904399E+001, 8.4904399E+001, 9.1277836E+001, 9.2138259E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.8536452E-001, 9.6557458E-001, 9.6557458E-001, 8.5929262E-001, 6.0673469E-001, 5.2282379E-001, 5.2282379E-001, 6.0368490E-001, 1.5999514E+000, 1.5999514E+000, 1.1134814E+000, 1.4918802E+000, 1.4918802E+000, 1.4918802E+000, 4.1959942E-001
 4.5747577E+002, 2.0318196E+001, 2.0168886E+001, 2.0168886E+001, 2.1141313E+001, 2.5954704E+001, 3.4629369E+001, 3.4629369E+001, 5.9598647E+001, 8.0474057E+001, 8.0474057E+001, 9.1597043E+001, 9.2507693E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6842226E-001, 9.4569138E-001, 9.4569138E-001, 9.0062952E-001, 6.7356235E-001, 5.7009849E-001, 5.7009849E-001, 5.5481743E-001, 1.4412627E+000, 1.4412627E+000, 1.2551107E+000, 1.5779036E+000, 1.5779036E+000, 1.5779036E+000, 4.3165922E-001
 4.5940068E+002, 2.0311413E+001, 2.0152711E+001, 2.0152711E+001, 2.0713186E+001, 2.4042907E+001, 3.0723972E+001, 3.0723972E+001, 5.2965520E+001, 8.0482826E+001, 8.0482826E+001, 9.1863858E+001, 9.2711885E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4915200E-001, 9.2449684E-001, 9.2449684E-001, 8.9258992E-001, 7.0302063E-001, 5.4953621E-001, 5.4953621E-001, 3.7007798E-001, 1.2540077E+000, 1.2540077E+000, 1.3585004E+000, 1.5917741E+000, 1.5917741E+000, 1.5917741E+000, 4.4632473E-001
 4.6132558E+002, 2.0316742E+001, 2.0153333E+001, 2.0153333E+001, 2.0441554E+001, 2.2860592E+001, 2.8601025E+001, 2.8601025E+001, 5.0084355E+001, 8.3089365E+001, 8.3089365E+001, 9.1953168E+001, 9.2578281E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.4359792E-001, 9.0619364E-001, 9.0619364E-001, 8.4140482E-001, 6.9013928E-001, 4.7569656E-001, 4.7569656E-001, 1.4450656E-001, 1.2048527E+000, 1.2048527E+000, 1.3625958E+000, 1.5264756E+000, 1.5264756E+000, 1.5264756E+000, 5.0906452E-001
 4.6260885E+002, 2.0324001E+001, 2.0155709E+001, 2.0155709E+001, 2.0322481E+001, 2.2211357E+001, 2.7782518E+001, 2.7782518E+001, 5.0383313E+001, 8.5413975E+001, 8.5413975E+001, 9.2017908E+001, 9.2454377E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.6188941E-001, 8.8110837E-001, 8.8110837E-001, 7.8779153E-001, 6.5845838E-001, 4.0756504E-001, 4.0756504E-001, 6.5429017E-002, 1.2492034E+000, 1.2492034E+000, 1.3162781E+000, 1.4957800E+000, 1.4957800E+000, 1.4957800E+000, 5.9867561E-001
